"loc_id";"ciclovia_rango_inv_proy";"highway_rango_inv_proy";"censo2_rango_proy";"green_areas_rango_inv_proy";"mall_rango_inv_proy";"school_rango_inv_proy";"sport_rango_inv_proy";"tourism_rango_inv_proy";"ues_rango_inv_proy";"X";"Y";"optional"
338;0.887980699539185;0.969663441181183;0.821861982345581;0.941067755222321;0.933221697807312;0.957047283649445;0.914152026176453;0.974527835845947;0.881574630737305;-73.05566819;-36.82104116;TRUE
339;0.868558645248413;0.94115799665451;0.845658004283905;0.905772268772125;0.934519350528717;0.970586001873016;0.938989818096161;0.990542829036713;0.847918570041656;-73.05436362;-36.8205048;TRUE
340;0.860096991062164;0.95928543806076;0.854547321796417;0.890471041202545;0.93402773141861;0.98505836725235;0.942183196544647;0.97942328453064;0.835607945919037;-73.05386333;-36.8202947;TRUE
341;0.847022473812103;0.986997485160828;0.869456708431244;0.864669442176819;0.930673062801361;0.99942010641098;0.940869510173798;0.960897028446198;0.81642347574234;-73.05310879;-36.81999269;TRUE
342;0.837329268455505;0.990515112876892;0.880433619022369;0.851423501968384;0.926493346691132;0.989937424659729;0.934584200382233;0.946532428264618;0.801738142967224;-73.05256749;-36.81977603;TRUE
343;0.851686239242554;0.963321030139923;0.895478427410126;0.851649582386017;0.920217871665955;0.968226611614227;0.928719878196716;0.927587032318115;0.788116276264191;-73.05182115;-36.81945432;TRUE
344;0.862971901893616;0.958624064922333;0.907079875469208;0.854733824729919;0.914228200912476;0.951271712779999;0.922594904899597;0.915783703327179;0.802221119403839;-73.05127985;-36.81921796;TRUE
345;0.875908970832825;0.985499441623688;0.919950485229492;0.879107296466827;0.906746387481689;0.93017315864563;0.912259936332703;0.914675533771515;0.819216191768646;-73.05054172;-36.81892907;TRUE
346;0.885714113712311;0.994757294654846;0.929751098155975;0.893888771533966;0.899998605251312;0.939958691596985;0.900703310966492;0.909732401371002;0.831934452056885;-73.05004142;-36.81871897;TRUE
347;0.89867502450943;0.967142760753632;0.943168759346008;0.913323640823364;0.890182733535767;0.953815460205078;0.897648870944977;0.902603507041931;0.849741339683533;-73.04927868;-36.818371;TRUE
348;0.908686101436615;0.942228555679321;0.953701853752136;0.926838338375092;0.881302654743195;0.960814237594604;0.910973370075226;0.895057559013367;0.864884197711945;-73.04863896;-36.81812807;TRUE
349;0.918367564678192;0.930457353591919;0.963437676429749;0.930279672145844;0.871723175048828;0.960102260112762;0.91851133108139;0.901512682437897;0.880047678947449;-73.04799104;-36.81785399;TRUE
350;0.97029721736908;0.963352620601654;0.940442264080048;1;0.813204050064087;0.920821309089661;0.798392653465271;0.898186981678009;0.918326079845428;-73.04885778;-36.81413383;TRUE
351;0.977216482162476;0.97193306684494;0.947346746921539;0.996520400047302;0.806004583835602;0.902744174003601;0.797506630420685;0.911786437034607;0.931846737861633;-73.04828024;-36.81389507;TRUE
352;0.988941192626953;0.981539487838745;0.956817746162415;0.985050439834595;0.814419090747833;0.907026588916779;0.817853987216949;0.900358378887177;0.938054084777832;-73.04797254;-36.81441428;TRUE
353;0.988763809204102;0.985909163951874;0.965909004211426;0.985687375068665;0.821957886219025;0.905815064907074;0.839695870876312;0.888169229030609;0.942569553852081;-73.04762696;-36.81497138;TRUE
354;0.977017879486084;0.993363916873932;0.973539590835571;0.98357093334198;0.830874443054199;0.919761836528778;0.858780682086945;0.889593601226807;0.941562056541443;-73.04730979;-36.81550196;TRUE
355;0.967065811157227;0.980531930923462;0.979276955127716;0.967005252838135;0.840831577777863;0.93307226896286;0.877700924873352;0.903190314769745;0.936765313148499;-73.04700209;-36.8159681;TRUE
